Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,14205,3798,10407,6383,683,1863,389,0.267371,0.848894,0.291869,0.406659,,,1.49714074893931,1.0906073680716895
INDEL,PASS,14205,3798,10407,6383,683,1863,389,0.267371,0.848894,0.291869,0.406659,,,1.49714074893931,1.0906073680716895
SNP,ALL,117889,49596,68293,59289,3395,6286,2817,0.42070100000000005,0.935947,0.106023,0.58048,2.2973993288590604,2.462746700922574,1.575046432863542,1.0979996459550363
SNP,PASS,117889,49596,68293,59289,3395,6286,2817,0.42070100000000005,0.935947,0.106023,0.58048,2.2973993288590604,2.462746700922574,1.575046432863542,1.0979996459550363
