Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,14205,4005,10200,7695,1335,2314,594,0.281943,0.751905,0.300715,0.41010699999999994,,,1.49714074893931,1.1447629860913995
INDEL,PASS,14205,4005,10200,7695,1335,2314,594,0.281943,0.751905,0.300715,0.41010699999999994,,,1.49714074893931,1.1447629860913995
SNP,ALL,117889,51521,66368,64593,6531,6536,4233,0.43703000000000003,0.8875069999999999,0.101187,0.5856640000000001,2.2973993288590604,2.4607349475037497,1.575046432863542,1.0504588612619479
SNP,PASS,117889,51521,66368,64593,6531,6536,4233,0.43703000000000003,0.8875069999999999,0.101187,0.5856640000000001,2.2973993288590604,2.4607349475037497,1.575046432863542,1.0504588612619479
