Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,459,111,691,17,206,5,0.8052630000000001,0.9649479999999999,0.298119,0.8779030000000001,,,1.7738693467336684,1.67578125
INDEL,PASS,570,459,111,691,17,206,5,0.8052630000000001,0.9649479999999999,0.298119,0.8779030000000001,,,1.7738693467336684,1.67578125
SNP,ALL,22576,21473,1103,24122,57,2595,34,0.9511430000000001,0.997352,0.107578,0.9737,2.976752377597746,2.901050929668553,1.603899850005769,1.5909090909090908
SNP,PASS,22576,21473,1103,24122,57,2595,34,0.9511430000000001,0.997352,0.107578,0.9737,2.976752377597746,2.901050929668553,1.603899850005769,1.5909090909090908
