Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,533,37,807,27,240,4,0.9350879999999999,0.9523809999999999,0.297398,0.9436549999999999,,,1.7738693467336684,1.9233576642335766
INDEL,PASS,570,533,37,807,27,240,4,0.9350879999999999,0.9523809999999999,0.297398,0.9436549999999999,,,1.7738693467336684,1.9233576642335766
SNP,ALL,22576,22279,297,25207,201,2726,71,0.986844,0.991059,0.108145,0.9889469999999999,2.976752377597746,2.8702793982192203,1.603899850005769,1.6429620306272288
SNP,PASS,22576,22279,297,25207,201,2726,71,0.986844,0.991059,0.108145,0.9889469999999999,2.976752377597746,2.8702793982192203,1.603899850005769,1.6429620306272288
