Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,570,465,105,669,3,195,1,0.815789,0.9936709999999999,0.29148,0.8959870000000001,,,1.7738693467336684,1.7172131147540983
INDEL,PASS,570,465,105,669,3,195,1,0.815789,0.9936709999999999,0.29148,0.8959870000000001,,,1.7738693467336684,1.7172131147540983
SNP,ALL,22576,21440,1136,24076,48,2585,24,0.949681,0.997767,0.107368,0.9731299999999999,2.976752377597746,2.8973944003884124,1.603899850005769,1.6144735412365534
SNP,PASS,22576,21440,1136,24076,48,2585,24,0.949681,0.997767,0.107368,0.9731299999999999,2.976752377597746,2.8973944003884124,1.603899850005769,1.6144735412365534
